Serial Number:,DEN1I104,,,,,,,,
APP Serial #,4000695,,,,,,,,
APP Ver:,  R1-6-3,,,,,,,,
COM Ver:,   R2-6-1,,,,,,,,
Instrument Name:,tulipdendro                 ,,,,,,,,
Comment:,                            ,,,,,,,,
Channel,Slope,Intercept,,,,,,,
Chan1,1,0,,,,,,,
Chan2,1,0,,,,,,,
Chan3,1,0,,,,,,,
Chan4,1,0,,,,,,,
Chan5,1,0,,,,,,,
,,,,,,,,,
Date,Time,Chan1 (mm ),Chan1 (mV),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message
28/05/2020,2:10:13,193.684,0,4.17,17.4,present ,11.47,42.6,
28/05/2020,2:20:13,193.683,0,4.17,17.4,present ,11.5,42,
28/05/2020,2:30:12,193.684,0,4.17,17.4,present ,11.5,42.3,
28/05/2020,2:40:13,193.683,0,4.17,17.4,present ,11.47,42.6,
28/05/2020,2:50:13,193.684,0,4.17,17.2,present ,11.47,42.9,
28/05/2020,3:00:13,193.684,0,4.17,17.2,present ,11.47,42.9,
28/05/2020,3:10:13,193.683,-0.001,4.17,17.1,present ,11.46,42.3,
28/05/2020,3:20:13,193.684,0,4.17,16.9,present ,11.46,42.3,
28/05/2020,3:30:13,193.684,0,4.17,16.79,present ,11.46,42.3,
28/05/2020,3:40:13,193.683,0,4.17,16.7,present ,11.46,42.3,
28/05/2020,3:50:13,193.683,-0.001,4.17,16.9,present ,11.43,42.3,
28/05/2020,4:00:13,193.683,-0.001,4.17,16.79,present ,11.47,42.9,
28/05/2020,4:10:12,193.683,0,4.17,17,present ,11.43,42.9,
28/05/2020,4:20:12,193.684,0,4.17,16.9,present ,11.43,42.3,
28/05/2020,4:30:12,193.683,0,4.17,17.1,present ,11.43,42.9,
28/05/2020,4:40:13,193.683,-0.001,4.17,17,present ,11.43,42.9,
28/05/2020,4:50:12,193.684,0,4.17,17.2,present ,11.43,42.3,
28/05/2020,5:00:12,193.683,0,4.17,17.2,present ,11.43,42.6,
28/05/2020,5:10:13,193.683,0,4.17,17,present ,11.43,42.9,
28/05/2020,5:20:13,193.684,0,4.17,16.9,present ,11.43,42.3,
28/05/2020,5:30:13,193.683,0,4.17,17.1,present ,11.43,42.9,
28/05/2020,5:40:13,193.683,0,4.17,16.9,present ,11.43,42.3,
28/05/2020,5:50:13,193.684,0,4.17,17,present ,11.43,42.9,
28/05/2020,6:00:13,193.683,0,4.17,17,present ,11.43,42.9,
28/05/2020,6:10:13,193.683,0,4.17,17.2,present ,11.43,42.6,
28/05/2020,6:20:13,193.683,-0.001,4.17,17.4,present ,11.43,42.6,
28/05/2020,6:30:13,193.684,0,4.17,17.29,present ,11.43,42.6,
28/05/2020,6:40:12,193.683,0,4.17,17.29,present ,11.4,42.9,
